product_id,category_id,supplier_id,price,category_name,country
71,8,62,347,Cat_8,USA
72,5,67,3632,Cat_5,China
73,15,143,3716,Cat_15,USA
74,13,34,3001,Cat_13,India
75,8,141,3959,Cat_8,China
76,1,189,4134,Cat_1,USA
77,13,148,4995,Cat_13,China
78,4,52,3020,Cat_4,India
79,24,93,3851,Cat_24,USA
80,13,171,1348,Cat_13,China
81,22,158,637,Cat_22,China
82,20,88,666,Cat_20,India
83,11,4,2740,Cat_11,USA
84,11,148,1227,Cat_11,China
85,20,131,3381,Cat_20,China
86,11,142,3753,Cat_11,USA
87,4,105,1205,Cat_4,India
88,22,103,4946,Cat_22,USA
89,3,13,1185,Cat_3,USA
90,3,193,2538,Cat_3,China
91,29,91,3663,Cat_29,India
92,27,53,4799,Cat_27,USA
93,18,74,3030,Cat_18,USA
94,12,90,2020,Cat_12,China
95,21,180,4965,Cat_21,USA
96,10,137,4011,Cat_10,USA
97,3,98,2637,Cat_3,USA
98,26,159,414,Cat_26,India
99,10,34,2489,Cat_10,India
100,22,191,4865,Cat_22,China
101,16,130,2972,Cat_16,USA
102,14,147,2083,Cat_14,China
103,29,89,642,Cat_29,USA
104,9,151,1711,Cat_9,India
105,6,183,4868,Cat_6,USA
106,17,192,3512,Cat_17,USA
107,14,140,2729,Cat_14,India
108,25,76,3296,Cat_25,USA
109,4,164,951,Cat_4,China
110,1,165,4299,Cat_1,USA
111,5,3,933,Cat_5,India
112,23,87,4411,Cat_23,India
113,19,150,3582,Cat_19,USA
114,5,107,303,Cat_5,China
115,25,11,1595,Cat_25,China
116,2,189,3090,Cat_2,USA
117,15,91,3857,Cat_15,India
118,21,35,3489,Cat_21,China
119,3,97,2106,Cat_3,USA
120,22,86,1558,Cat_22,USA
121,29,38,2094,Cat_29,China
122,20,9,1063,Cat_20,USA
123,15,13,2255,Cat_15,USA
124,19,142,3695,Cat_19,USA
125,16,49,3389,Cat_16,India
126,29,1,3325,Cat_29,India
127,16,134,4857,Cat_16,India
128,24,67,3151,Cat_24,China
129,18,29,2755,Cat_18,India
130,14,141,4984,Cat_14,China
131,19,107,1046,Cat_19,China
132,25,30,2326,Cat_25,India
133,16,43,3341,Cat_16,USA
134,26,57,3218,Cat_26,USA
135,27,122,4846,Cat_27,India
136,4,1,4524,Cat_4,India
137,19,21,693,Cat_19,India
138,17,125,188,Cat_17,China
139,30,65,4819,Cat_30,USA
140,17,180,1299,Cat_17,USA
141,1,159,2517,Cat_1,India
142,9,167,848,Cat_9,China
143,30,117,4911,Cat_30,USA
144,7,155,3689,Cat_7,India
145,5,22,872,Cat_5,India
146,28,167,315,Cat_28,China
147,20,89,747,Cat_20,USA
148,18,119,129,Cat_18,China
149,28,193,2420,Cat_28,China
150,14,32,3194,Cat_14,China
151,27,179,304,Cat_27,India
152,9,158,2249,Cat_9,China
153,20,185,3363,Cat_20,USA
154,30,74,713,Cat_30,USA
155,8,6,337,Cat_8,India
156,17,11,817,Cat_17,China
157,23,67,779,Cat_23,China
158,11,77,1863,Cat_11,India
159,14,82,146,Cat_14,USA
160,20,36,4254,Cat_20,India
161,11,74,2347,Cat_11,USA
162,16,10,4013,Cat_16,USA
163,29,133,2041,Cat_29,India
164,11,106,407,Cat_11,China
165,4,180,4988,Cat_4,USA
166,18,158,3258,Cat_18,China
167,9,24,3855,Cat_9,USA
168,9,45,1444,Cat_9,India
169,18,146,647,Cat_18,USA
170,21,158,1530,Cat_21,China
171,8,81,1202,Cat_8,USA
172,5,115,4103,Cat_5,China
173,22,44,3680,Cat_22,China
174,17,16,2567,Cat_17,India
175,11,113,1931,Cat_11,India
176,2,172,922,Cat_2,USA
177,20,155,3075,Cat_20,India
178,2,100,2915,Cat_2,USA
179,27,160,3640,Cat_27,USA
180,3,131,3949,Cat_3,China
181,15,171,4707,Cat_15,China
182,26,173,3490,Cat_26,USA
183,5,200,2219,Cat_5,India
184,30,152,2252,Cat_30,India
185,15,92,4450,Cat_15,USA
186,5,185,1674,Cat_5,USA
187,2,19,2548,Cat_2,India
188,17,169,2171,Cat_17,India
189,13,6,3896,Cat_13,India
190,15,198,1211,Cat_15,China
191,19,49,4725,Cat_19,India
192,20,34,294,Cat_20,India
193,10,119,3457,Cat_10,China
194,21,156,3830,Cat_21,USA
195,9,195,1893,Cat_9,USA
196,1,37,2514,Cat_1,China
197,4,142,4173,Cat_4,USA
198,4,91,4420,Cat_4,India
199,6,74,1233,Cat_6,USA
200,26,114,3340,Cat_26,USA
201,3,75,1001,Cat_3,India
202,3,34,2580,Cat_3,India
203,4,48,596,Cat_4,China
204,29,9,2232,Cat_29,USA
205,2,25,1828,Cat_2,India
206,22,130,2054,Cat_22,USA
207,27,127,2841,Cat_27,USA
208,9,172,1700,Cat_9,USA
209,3,11,2405,Cat_3,China
210,5,149,637,Cat_5,China
211,29,1,789,Cat_29,India
212,24,5,2346,Cat_24,China
213,12,159,1202,Cat_12,India
214,10,127,2622,Cat_10,USA
215,8,200,3548,Cat_8,India
216,13,2,4348,Cat_13,India
217,28,90,2260,Cat_28,China
218,18,1,1144,Cat_18,India
219,16,178,242,Cat_16,USA
220,2,131,3765,Cat_2,China
221,23,150,1438,Cat_23,USA
222,15,182,3850,Cat_15,India
223,19,106,758,Cat_19,China
224,20,46,4994,Cat_20,India
225,23,66,1344,Cat_23,USA
226,22,82,1254,Cat_22,USA
227,23,102,1984,Cat_23,USA
228,7,44,1520,Cat_7,China
229,10,89,1270,Cat_10,USA
230,26,27,1247,Cat_26,China
231,4,132,979,Cat_4,China
232,2,10,325,Cat_2,USA
233,16,190,4691,Cat_16,China
234,27,53,749,Cat_27,USA
235,20,170,4308,Cat_20,USA
236,13,54,2830,Cat_13,USA
237,3,112,185,Cat_3,China
238,11,56,1795,Cat_11,India
239,7,103,4825,Cat_7,USA
240,28,155,3743,Cat_28,India
241,1,189,799,Cat_1,USA
242,5,157,515,Cat_5,USA
243,10,91,4140,Cat_10,India
244,1,138,1934,Cat_1,India
245,15,63,1502,Cat_15,USA
246,12,31,3705,Cat_12,China
247,16,94,465,Cat_16,India
248,15,70,3542,Cat_15,India
249,30,33,4738,Cat_30,India
250,16,188,1863,Cat_16,China
251,22,41,4452,Cat_22,India
252,30,131,1538,Cat_30,China
253,8,16,354,Cat_8,India
254,19,140,1282,Cat_19,India
255,19,169,947,Cat_19,India
256,4,181,2450,Cat_4,India
257,3,186,1602,Cat_3,India
258,1,57,2220,Cat_1,USA
259,14,183,889,Cat_14,USA
260,23,167,2536,Cat_23,China
261,3,62,704,Cat_3,USA
262,21,103,3136,Cat_21,USA
263,7,90,1531,Cat_7,China
264,5,60,3060,Cat_5,USA
265,13,3,4466,Cat_13,India
266,24,4,3378,Cat_24,USA
267,22,196,3189,Cat_22,India
268,4,5,3319,Cat_4,China
269,12,137,4020,Cat_12,USA
270,15,163,1010,Cat_15,China
271,12,173,4601,Cat_12,USA
272,10,92,4831,Cat_10,USA
273,27,164,4148,Cat_27,China
274,24,89,2849,Cat_24,USA
275,26,90,1161,Cat_26,China
276,23,41,3082,Cat_23,India
277,3,33,1803,Cat_3,India
278,18,40,1683,Cat_18,USA
279,1,170,3713,Cat_1,USA
280,11,71,4843,Cat_11,USA
281,3,86,1227,Cat_3,USA
282,27,198,294,Cat_27,China
283,2,1,303,Cat_2,India
284,5,194,4099,Cat_5,China
285,3,181,519,Cat_3,India
286,17,76,3194,Cat_17,USA
287,30,49,4636,Cat_30,India
288,14,163,1693,Cat_14,China
289,25,160,3989,Cat_25,USA
290,2,197,771,Cat_2,USA
291,4,127,2699,Cat_4,USA
292,12,69,352,Cat_12,China
293,16,138,4689,Cat_16,India
294,22,95,3757,Cat_22,China
295,17,138,4892,Cat_17,India
296,27,128,3874,Cat_27,China
297,4,62,1779,Cat_4,USA
298,15,18,3356,Cat_15,USA
299,15,153,2134,Cat_15,USA
300,11,168,478,Cat_11,China
301,27,60,1623,Cat_27,USA
302,4,36,4435,Cat_4,India
303,8,21,3261,Cat_8,India
304,26,24,1402,Cat_26,USA
305,23,194,241,Cat_23,China
306,21,91,3984,Cat_21,India
307,26,184,218,Cat_26,USA
308,3,40,4276,Cat_3,USA
309,2,121,2639,Cat_2,USA
310,17,180,415,Cat_17,USA
311,20,10,1708,Cat_20,USA
312,4,185,1941,Cat_4,USA
313,18,146,3038,Cat_18,USA
314,16,127,2937,Cat_16,USA
315,7,118,2222,Cat_7,USA
316,21,56,1123,Cat_21,India
317,22,44,1880,Cat_22,China
318,5,20,1743,Cat_5,India
319,1,129,3950,Cat_1,China
320,5,100,1990,Cat_5,USA
321,9,78,4042,Cat_9,India
322,29,166,2985,Cat_29,USA
323,4,193,2132,Cat_4,China
324,17,168,371,Cat_17,China
325,17,77,4042,Cat_17,India
326,18,83,3317,Cat_18,China
327,28,167,976,Cat_28,China
328,21,138,134,Cat_21,India
329,3,159,4513,Cat_3,India
330,11,96,4483,Cat_11,USA
331,15,84,4489,Cat_15,China
332,28,104,3702,Cat_28,India
333,8,1,1037,Cat_8,India
334,21,63,3788,Cat_21,USA
335,8,57,3723,Cat_8,USA
336,15,90,1376,Cat_15,China
337,11,64,4740,Cat_11,China
338,25,82,807,Cat_25,USA
339,6,6,4820,Cat_6,India
340,9,115,2534,Cat_9,China
341,1,175,2746,Cat_1,India
342,1,131,3354,Cat_1,China
343,28,20,3605,Cat_28,India
344,24,116,2499,Cat_24,India
345,25,194,478,Cat_25,China
346,5,11,1242,Cat_5,China
347,22,93,1299,Cat_22,USA
348,3,149,1901,Cat_3,China
349,25,2,1776,Cat_25,India
350,16,62,2889,Cat_16,USA
351,27,154,4290,Cat_27,China
352,30,56,4118,Cat_30,India
353,10,69,1567,Cat_10,China
354,29,55,4157,Cat_29,USA
355,10,101,1608,Cat_10,USA
356,28,43,3480,Cat_28,USA
357,15,91,2292,Cat_15,India
358,16,72,2598,Cat_16,China
359,11,135,3050,Cat_11,China
360,11,119,1372,Cat_11,China
361,19,173,1442,Cat_19,USA
362,19,163,201,Cat_19,China
363,2,62,4449,Cat_2,USA
364,19,29,1258,Cat_19,India
365,17,93,2944,Cat_17,USA
366,9,147,1174,Cat_9,China
367,17,58,4568,Cat_17,India
368,15,10,2447,Cat_15,USA
369,12,159,1556,Cat_12,India
370,15,39,3208,Cat_15,China
371,9,81,2516,Cat_9,USA
372,23,108,4308,Cat_23,USA
373,5,45,4459,Cat_5,India
374,21,145,352,Cat_21,India
375,10,128,4587,Cat_10,China
376,7,76,1661,Cat_7,USA
377,11,9,4055,Cat_11,USA
378,25,175,4222,Cat_25,India
379,30,64,3559,Cat_30,China
380,2,166,2491,Cat_2,USA
381,6,116,4167,Cat_6,India
382,13,38,3162,Cat_13,China
383,29,49,930,Cat_29,India
384,19,135,1288,Cat_19,China
385,21,136,4197,Cat_21,India
386,14,15,3377,Cat_14,China
387,27,179,3748,Cat_27,India
388,2,112,3137,Cat_2,China
389,4,31,4724,Cat_4,China
390,5,126,1953,Cat_5,USA
391,9,107,3496,Cat_9,China
392,29,165,188,Cat_29,USA
393,9,77,3077,Cat_9,India
394,20,99,3626,Cat_20,USA
395,3,41,3461,Cat_3,India
396,19,61,189,Cat_19,China
397,27,68,3810,Cat_27,China
398,16,51,1692,Cat_16,China
399,13,131,2881,Cat_13,China
400,23,153,4528,Cat_23,USA
401,13,28,1585,Cat_13,USA
402,4,143,2826,Cat_4,USA
403,22,86,3123,Cat_22,USA
404,29,192,4493,Cat_29,USA
405,15,4,976,Cat_15,USA
406,10,46,2776,Cat_10,India
407,20,21,1094,Cat_20,India
408,4,90,2239,Cat_4,China
409,9,33,2233,Cat_9,India
410,25,68,1938,Cat_25,China
411,13,17,2587,Cat_13,India
412,29,189,368,Cat_29,USA
413,3,108,1233,Cat_3,USA
414,20,21,420,Cat_20,India
415,19,127,3795,Cat_19,USA
416,5,25,1558,Cat_5,India
417,29,147,1833,Cat_29,China
418,2,158,3489,Cat_2,China
419,6,124,3623,Cat_6,India
420,17,114,2337,Cat_17,USA
421,26,82,984,Cat_26,USA
422,13,126,4137,Cat_13,USA
423,22,78,432,Cat_22,India
424,20,115,999,Cat_20,China
425,16,190,4417,Cat_16,China
426,3,11,598,Cat_3,China
427,11,163,3742,Cat_11,China
428,8,172,3266,Cat_8,USA
429,26,188,990,Cat_26,China
430,27,43,2780,Cat_27,USA
431,12,4,2247,Cat_12,USA
432,2,69,2187,Cat_2,China
433,8,105,4199,Cat_8,India
434,24,189,2587,Cat_24,USA
435,25,115,3967,Cat_25,China
436,5,4,4276,Cat_5,USA
437,7,33,1235,Cat_7,India
438,1,63,1141,Cat_1,USA
439,1,147,2651,Cat_1,China
440,18,39,4423,Cat_18,China
441,13,72,2156,Cat_13,China
442,15,195,759,Cat_15,USA
443,24,122,4669,Cat_24,India
444,26,89,1713,Cat_26,USA
445,27,157,1517,Cat_27,USA
446,13,96,3140,Cat_13,USA
447,23,129,4950,Cat_23,China
448,9,87,3468,Cat_9,India
449,19,90,1850,Cat_19,China
450,19,151,3072,Cat_19,India
451,19,104,4532,Cat_19,India
452,13,43,3020,Cat_13,USA
453,26,175,386,Cat_26,India
454,25,119,181,Cat_25,China
455,3,107,2594,Cat_3,China
456,12,172,2362,Cat_12,USA
457,6,92,3573,Cat_6,USA
458,3,153,213,Cat_3,USA
459,26,22,578,Cat_26,India
460,24,168,1839,Cat_24,China
461,10,138,3425,Cat_10,India
462,25,165,2983,Cat_25,USA
463,18,82,1036,Cat_18,USA
464,28,127,4090,Cat_28,USA
465,14,129,379,Cat_14,China
466,5,42,891,Cat_5,China
467,10,178,1241,Cat_10,USA
468,11,35,4641,Cat_11,China
469,1,195,922,Cat_1,USA
470,15,132,3427,Cat_15,China
471,5,5,291,Cat_5,China
472,13,189,4048,Cat_13,USA
473,23,25,2863,Cat_23,India
474,1,136,3418,Cat_1,India
475,22,188,374,Cat_22,China
476,12,192,742,Cat_12,USA
477,6,166,1680,Cat_6,USA
478,15,117,3272,Cat_15,USA
479,22,53,1521,Cat_22,USA
480,7,59,2562,Cat_7,USA
481,12,155,3176,Cat_12,India
482,30,49,3402,Cat_30,India
483,22,145,1846,Cat_22,India
484,17,132,1581,Cat_17,China
485,1,86,3681,Cat_1,USA
486,24,53,416,Cat_24,USA
487,22,65,3808,Cat_22,USA
488,14,29,2923,Cat_14,India
489,19,28,2347,Cat_19,USA
490,19,32,4306,Cat_19,China
491,13,169,2700,Cat_13,India
492,29,154,3066,Cat_29,China
493,26,107,4633,Cat_26,China
494,17,82,3105,Cat_17,USA
495,12,176,4567,Cat_12,India
496,6,165,548,Cat_6,USA
497,30,35,2894,Cat_30,China
498,13,186,636,Cat_13,India
499,4,112,1938,Cat_4,China
500,2,141,242,Cat_2,China
501,22,16,2928,Cat_22,India
502,6,145,3384,Cat_6,India
503,24,26,809,Cat_24,China
504,18,115,3881,Cat_18,China
505,30,191,830,Cat_30,China
506,17,59,909,Cat_17,USA
507,10,130,594,Cat_10,USA
508,11,191,1728,Cat_11,China
509,17,63,1183,Cat_17,USA
510,13,105,1237,Cat_13,India
511,27,180,3857,Cat_27,USA
512,8,70,1465,Cat_8,India
513,14,180,2733,Cat_14,USA
514,26,157,299,Cat_26,USA
515,13,21,1068,Cat_13,India
516,5,111,2590,Cat_5,India
517,9,156,779,Cat_9,USA
518,8,197,2611,Cat_8,USA
519,30,124,2398,Cat_30,India
520,25,94,4100,Cat_25,India
521,14,15,1425,Cat_14,China
522,9,111,2169,Cat_9,India
523,12,34,4325,Cat_12,India
524,14,11,4303,Cat_14,China
525,22,9,1942,Cat_22,USA
526,7,152,4110,Cat_7,India
527,16,142,1755,Cat_16,USA
528,6,13,1617,Cat_6,USA
529,24,191,3622,Cat_24,China
530,3,58,1694,Cat_3,India
531,29,181,1083,Cat_29,India
532,9,173,2464,Cat_9,USA
533,24,106,1713,Cat_24,China
534,21,103,4485,Cat_21,USA
535,26,80,1658,Cat_26,China
536,23,32,4338,Cat_23,China
537,1,23,1771,Cat_1,USA
538,15,126,1066,Cat_15,USA
539,4,39,215,Cat_4,China
540,8,27,3104,Cat_8,China
541,24,148,4239,Cat_24,China
542,5,168,1192,Cat_5,China
543,12,23,3965,Cat_12,USA
544,24,11,2590,Cat_24,China
545,3,59,3271,Cat_3,USA
546,24,131,905,Cat_24,China
547,28,141,4112,Cat_28,China
548,13,112,1637,Cat_13,China
549,25,36,4053,Cat_25,India
550,3,109,1348,Cat_3,USA
551,1,129,3333,Cat_1,China
552,13,112,4798,Cat_13,China
553,28,135,4600,Cat_28,China
554,8,62,4780,Cat_8,USA
555,4,32,761,Cat_4,China
556,3,9,2542,Cat_3,USA
557,6,162,2020,Cat_6,China
558,7,94,737,Cat_7,India
559,8,55,1128,Cat_8,USA
560,5,170,814,Cat_5,USA
561,6,25,4149,Cat_6,India
562,18,105,3825,Cat_18,India
563,25,106,4097,Cat_25,China
564,20,121,1740,Cat_20,USA
565,22,193,2948,Cat_22,China
566,15,108,2254,Cat_15,USA
567,22,176,2438,Cat_22,India
568,20,171,3948,Cat_20,China
569,3,79,1076,Cat_3,USA
570,24,108,4855,Cat_24,USA
571,25,15,977,Cat_25,China
572,30,195,3122,Cat_30,USA
573,20,83,946,Cat_20,China
574,20,168,2966,Cat_20,China
575,27,36,3844,Cat_27,India
576,26,8,4903,Cat_26,USA
577,12,199,908,Cat_12,USA
578,24,131,1535,Cat_24,China
579,9,72,101,Cat_9,China
580,30,49,836,Cat_30,India
581,29,87,4113,Cat_29,India
582,13,87,2487,Cat_13,India
583,12,196,4568,Cat_12,India
584,15,197,261,Cat_15,USA
585,4,79,3674,Cat_4,USA
586,28,156,2609,Cat_28,USA
587,13,183,4540,Cat_13,USA
588,20,160,1604,Cat_20,USA
589,17,43,2251,Cat_17,USA
590,15,111,1233,Cat_15,India
591,20,150,3546,Cat_20,USA
592,16,188,1791,Cat_16,China
593,8,40,1211,Cat_8,USA
594,17,175,3683,Cat_17,India
595,3,12,4950,Cat_3,India
596,6,197,1530,Cat_6,USA
597,15,143,4512,Cat_15,USA
598,16,178,407,Cat_16,USA
599,26,99,4658,Cat_26,USA
600,17,97,1883,Cat_17,USA
601,12,122,1841,Cat_12,India
602,12,142,4306,Cat_12,USA
603,5,169,2532,Cat_5,India
604,20,200,2260,Cat_20,India
605,9,141,2251,Cat_9,China
606,18,83,2869,Cat_18,China
607,1,82,1409,Cat_1,USA
608,14,48,1910,Cat_14,China
609,17,150,4546,Cat_17,USA
610,20,33,190,Cat_20,India
611,26,53,3706,Cat_26,USA
612,29,137,790,Cat_29,USA
613,29,157,2652,Cat_29,USA
614,30,96,3754,Cat_30,USA
615,15,12,4168,Cat_15,India
616,7,86,4464,Cat_7,USA
617,17,60,4689,Cat_17,USA
618,16,78,1729,Cat_16,India
619,10,167,3681,Cat_10,China
620,12,44,2785,Cat_12,China
621,30,108,3821,Cat_30,USA
622,1,50,1585,Cat_1,China
623,20,7,1833,Cat_20,China
624,30,89,4221,Cat_30,USA
625,10,144,1951,Cat_10,China
626,26,174,3917,Cat_26,China
627,16,92,3398,Cat_16,USA
628,25,198,1716,Cat_25,China
629,26,188,3008,Cat_26,China
630,16,56,1827,Cat_16,India
631,1,167,4662,Cat_1,China
632,1,182,2285,Cat_1,India
633,16,88,2173,Cat_16,India
634,4,31,4728,Cat_4,China
635,27,54,554,Cat_27,USA
636,28,81,1468,Cat_28,USA
637,24,69,3934,Cat_24,China
638,28,183,3361,Cat_28,USA
639,14,98,414,Cat_14,USA
640,19,16,4344,Cat_19,India
641,6,14,2422,Cat_6,China
642,13,61,547,Cat_13,China
643,13,6,3595,Cat_13,India
644,18,200,1283,Cat_18,India
645,30,15,3633,Cat_30,China
646,27,73,3369,Cat_27,China
647,27,114,4157,Cat_27,USA
648,10,83,4712,Cat_10,China
649,29,140,4812,Cat_29,India
650,7,184,4029,Cat_7,USA
651,15,159,745,Cat_15,India
652,20,32,4712,Cat_20,China
653,4,31,608,Cat_4,China
654,3,51,3309,Cat_3,China
655,18,13,4182,Cat_18,USA
656,15,11,708,Cat_15,China
657,17,159,4592,Cat_17,India
658,20,128,2136,Cat_20,China
659,14,147,2344,Cat_14,China
660,19,109,1386,Cat_19,USA
661,13,73,4983,Cat_13,China
662,16,17,3417,Cat_16,India
663,13,57,2804,Cat_13,USA
664,16,63,4653,Cat_16,USA
665,20,141,3235,Cat_20,China
666,23,55,3329,Cat_23,USA
667,3,157,2784,Cat_3,USA
668,2,148,1967,Cat_2,China
669,8,28,939,Cat_8,USA
670,29,11,661,Cat_29,China
671,22,47,1489,Cat_22,India
672,17,170,2640,Cat_17,USA
673,8,114,4137,Cat_8,USA
674,30,122,795,Cat_30,India
675,4,130,2440,Cat_4,USA
676,8,47,4838,Cat_8,India
677,23,101,3350,Cat_23,USA
678,29,67,1220,Cat_29,China
679,23,199,2275,Cat_23,USA
680,28,168,1818,Cat_28,China
681,5,75,4194,Cat_5,India
682,9,83,4200,Cat_9,China
683,28,44,411,Cat_28,China
684,6,8,3870,Cat_6,USA
685,9,29,4775,Cat_9,India
686,10,62,4507,Cat_10,USA
687,20,58,3407,Cat_20,India
688,2,148,2708,Cat_2,China
689,7,167,3630,Cat_7,China
690,27,69,1517,Cat_27,China
691,19,76,360,Cat_19,USA
692,13,174,1419,Cat_13,China
693,22,53,1151,Cat_22,USA
694,20,18,3229,Cat_20,USA
695,25,172,1307,Cat_25,USA
696,29,103,733,Cat_29,USA
697,10,20,4104,Cat_10,India
698,27,139,569,Cat_27,China
699,3,129,4729,Cat_3,China
700,18,193,886,Cat_18,China
701,18,105,4365,Cat_18,India
702,17,8,798,Cat_17,USA
703,5,122,1943,Cat_5,India
704,3,22,4651,Cat_3,India
705,3,193,3427,Cat_3,China
706,20,159,3871,Cat_20,India
707,5,151,4252,Cat_5,India
708,28,9,3666,Cat_28,USA
709,26,7,2105,Cat_26,China
710,26,199,4298,Cat_26,USA
711,15,27,686,Cat_15,China
712,20,200,3418,Cat_20,India
713,24,103,2908,Cat_24,USA
714,9,87,3033,Cat_9,India
715,18,81,1403,Cat_18,USA
716,16,71,1278,Cat_16,USA
717,13,134,3793,Cat_13,India
718,11,22,2778,Cat_11,India
719,3,113,4893,Cat_3,India
720,23,193,474,Cat_23,China
721,1,28,4811,Cat_1,USA
722,14,107,254,Cat_14,China
723,27,140,2342,Cat_27,India
724,26,23,3218,Cat_26,USA
725,21,68,882,Cat_21,China
726,27,64,189,Cat_27,China
727,15,115,3774,Cat_15,China
728,23,137,2343,Cat_23,USA
729,2,161,4828,Cat_2,China
730,2,103,848,Cat_2,USA
731,6,159,377,Cat_6,India
732,13,151,2123,Cat_13,India
733,21,117,3984,Cat_21,USA
734,6,155,4065,Cat_6,India
735,10,173,2405,Cat_10,USA
736,18,35,4021,Cat_18,China
737,27,45,4908,Cat_27,India
738,27,90,3256,Cat_27,China
739,4,152,4797,Cat_4,India
740,20,64,4354,Cat_20,China
741,4,107,547,Cat_4,China
742,21,125,1799,Cat_21,China
743,25,163,1121,Cat_25,China
744,10,30,3343,Cat_10,India
745,18,8,639,Cat_18,USA
746,12,117,4447,Cat_12,USA
747,6,127,2192,Cat_6,USA
748,17,198,4376,Cat_17,China
749,6,138,2374,Cat_6,India
750,11,21,4381,Cat_11,India
751,23,159,1244,Cat_23,India
752,24,179,4261,Cat_24,India
753,21,54,3843,Cat_21,USA
754,25,79,4988,Cat_25,USA
755,6,185,3290,Cat_6,USA
756,22,4,1582,Cat_22,USA
757,13,9,3644,Cat_13,USA
758,13,61,2410,Cat_13,China
759,6,91,3287,Cat_6,India
760,8,54,3253,Cat_8,USA
761,18,37,4520,Cat_18,China
762,20,157,2138,Cat_20,USA
763,10,37,4074,Cat_10,China
764,14,42,233,Cat_14,China
765,30,52,1494,Cat_30,India
766,11,3,4287,Cat_11,India
767,12,172,522,Cat_12,USA
768,12,87,2526,Cat_12,India
769,26,129,410,Cat_26,China
770,11,91,4325,Cat_11,India
771,19,10,2178,Cat_19,USA
772,22,85,738,Cat_22,China
773,19,41,1368,Cat_19,India
774,30,174,4516,Cat_30,China
775,28,190,2755,Cat_28,China
776,1,40,4034,Cat_1,USA
777,19,40,4913,Cat_19,USA
778,30,76,3639,Cat_30,USA
779,3,191,1588,Cat_3,China
780,7,98,526,Cat_7,USA
781,22,162,229,Cat_22,China
782,5,192,1225,Cat_5,USA
783,10,160,3578,Cat_10,USA
784,20,176,4269,Cat_20,India
785,16,91,1851,Cat_16,India
786,11,156,4528,Cat_11,USA
787,21,72,3431,Cat_21,China
788,6,139,4740,Cat_6,China
789,26,171,1801,Cat_26,China
790,6,44,4471,Cat_6,China
791,25,38,2037,Cat_25,China
792,11,77,803,Cat_11,India
793,13,155,4417,Cat_13,India
794,12,181,3947,Cat_12,India
795,28,131,1079,Cat_28,China
796,19,22,3870,Cat_19,India
797,5,77,4780,Cat_5,India
798,1,86,1434,Cat_1,USA
799,23,4,3250,Cat_23,USA
800,21,182,2027,Cat_21,India
801,1,119,3509,Cat_1,China
802,11,101,1254,Cat_11,USA
803,12,84,3702,Cat_12,China
804,10,41,3193,Cat_10,India
805,25,133,3961,Cat_25,India
806,27,160,1508,Cat_27,USA
807,21,64,1619,Cat_21,China
808,14,184,3382,Cat_14,USA
809,6,177,1947,Cat_6,USA
810,4,17,4127,Cat_4,India
811,21,167,4215,Cat_21,China
